Id,Label,Date,Image,followers_count,friends_count
1077670683163930624,metalimperii,Tue Dec 25 21:01:27 +0000 2018,https://pbs.twimg.com/profile_images/1077671947998179328/MDuKwSVz_normal.jpg,14,101
1078557717839691778,ND3v2,Fri Dec 28 07:46:13 +0000 2018,https://pbs.twimg.com/profile_images/1462565402781925378/0gYsscDr_normal.jpg,45,79
1078611325134295041,PeterBa84734077,Fri Dec 28 11:19:14 +0000 2018,https://pbs.twimg.com/profile_images/1081017735612649472/zbzVQGaP_normal.jpg,1894,4993
1078925248718950402,MoAnja2,Sat Dec 29 08:06:39 +0000 2018,https://pbs.twimg.com/profile_images/1244097295253041160/ARA5NLtv_normal.jpg,20,95
1082186919814090752,EGermroth,Mon Jan 07 08:07:22 +0000 2019,https://pbs.twimg.com/profile_images/1264981462195097600/AmdDAYFV_normal.jpg,506,404
1082371703181844480,Wehner84,Mon Jan 07 20:21:38 +0000 2019,https://pbs.twimg.com/profile_images/1464783673585197065/7dcekFNp_normal.jpg,1206,1133
1083447470519214082,AndreasShrugged,Thu Jan 10 19:36:21 +0000 2019,https://pbs.twimg.com/profile_images/1083451953751965697/3AAgG_bt_normal.jpg,17581,1982
1083565366410964992,HelfriedSchada1,Fri Jan 11 03:24:49 +0000 2019,https://pbs.twimg.com/profile_images/1201055125504233473/vThcnzWL_normal.jpg,187,359
1083826636678676482,poschuetzge,Fri Jan 11 20:43:01 +0000 2019,https://pbs.twimg.com/profile_images/1083827709107757062/WK445RsQ_normal.jpg,106,58
1084578529138884615,EqadorB,Sun Jan 13 22:30:46 +0000 2019,https://pbs.twimg.com/profile_images/1084589520425832448/6cc-aMxz_normal.jpg,45,386
1084857027065729025,ChristianKalve1,Mon Jan 14 16:57:25 +0000 2019,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,3,64
1084924078845296641,menosgadion,Mon Jan 14 21:23:52 +0000 2019,https://pbs.twimg.com/profile_images/1409627908247859202/k0P_Zx4o_normal.jpg,941,1027
1087412278465646595,Max_Schnob,Mon Jan 21 18:11:05 +0000 2019,https://pbs.twimg.com/profile_images/1434595355115540488/CTyhVPeO_normal.jpg,1598,1606
1087444980174671872,Ultra68582533,Mon Jan 21 20:21:01 +0000 2019,https://pbs.twimg.com/profile_images/1087445187855597568/K9HRS1iH_normal.jpg,534,872
1089806135757062144,ebenenleben,Mon Jan 28 08:43:25 +0000 2019,https://pbs.twimg.com/profile_images/1462662219079077897/AuMoUl2x_normal.jpg,965,1308
1091090017311748096,ErikMeusel,Thu Jan 31 21:45:06 +0000 2019,https://pbs.twimg.com/profile_images/1273698589546594311/2rD02bR6_normal.jpg,50,46
1091870197139623936,Scriter31,Sun Feb 03 01:25:15 +0000 2019,https://pbs.twimg.com/profile_images/1405248528549519360/KpSO2JD2_normal.jpg,42,133
1092533104940593155,Anitakatharina1,Mon Feb 04 21:19:25 +0000 2019,https://pbs.twimg.com/profile_images/1128024589282553856/OgOHvX9N_normal.jpg,0,23
1092779954436214784,Klapperstrausse,Tue Feb 05 13:40:18 +0000 2019,https://pbs.twimg.com/profile_images/1230778516360376320/k6X7dY7B_normal.jpg,38,77
1092860741047250946,ReallyALotNames,Tue Feb 05 19:01:19 +0000 2019,https://pbs.twimg.com/profile_images/1115253200033071105/HChtgAj0_normal.jpg,91,67
10954202,fdomig,Fri Dec 07 23:36:20 +0000 2007,https://pbs.twimg.com/profile_images/1296375489775521793/qGynKI5U_normal.jpg,190,290
1095432576435671046,ICE_Bubblefish,Tue Feb 12 21:20:53 +0000 2019,https://pbs.twimg.com/profile_images/1462389553919139841/O9FJFqJz_normal.jpg,273,135
1097836571871588352,TrueDeterminist,Tue Feb 19 12:33:30 +0000 2019,https://pbs.twimg.com/profile_images/1310196278387716096/xahK0K5c_normal.jpg,23,74
1099580804798300160,Autriche18,Sun Feb 24 08:04:27 +0000 2019,https://pbs.twimg.com/profile_images/1099620216353538048/8EAha86l_normal.jpg,2128,4365
1101690859634999297,ARabiator,Sat Mar 02 03:49:04 +0000 2019,https://pbs.twimg.com/profile_images/1465401548096294920/YX3I5YIn_normal.jpg,490,924
1102465200060538880,kindofmagic4u,Mon Mar 04 07:06:01 +0000 2019,https://pbs.twimg.com/profile_images/1368567554579521536/yErvlVss_normal.jpg,500,1464
1102541866338316290,HeinWilfried,Mon Mar 04 12:10:39 +0000 2019,https://pbs.twimg.com/profile_images/1310205107221520384/7ydFnIpR_normal.jpg,118,222
1103239140651515905,ASabudko,Wed Mar 06 10:21:23 +0000 2019,https://pbs.twimg.com/profile_images/1402150045537996801/2c7rYB4Q_normal.jpg,16,53
1104771860502331392,misstarisato,Sun Mar 10 15:51:51 +0000 2019,https://pbs.twimg.com/profile_images/1446368919133040702/x0jvSRcI_normal.jpg,3735,356
1106765550,berniedemedici,Sun Jan 20 17:16:24 +0000 2013,https://pbs.twimg.com/profile_images/1348704875778101249/hO896XWR_normal.jpg,217,798
1107889123640180738,inga_roeger,Tue Mar 19 06:18:45 +0000 2019,https://pbs.twimg.com/profile_images/1454770733238870016/Fs7rBr-o_normal.jpg,187,143
1108136168632315905,ElgerVon,Tue Mar 19 22:40:25 +0000 2019,https://pbs.twimg.com/profile_images/1407423320845344780/JmWlYG9q_normal.jpg,974,1109
1108294027563188224,elverde_LL,Wed Mar 20 09:07:42 +0000 2019,https://pbs.twimg.com/profile_images/1367948250469240837/t1KYvbl2_normal.jpg,7,27
1108810580981415937,Simson68854178,Thu Mar 21 19:20:18 +0000 2019,https://pbs.twimg.com/profile_images/1431645767018635264/7Airem1X_normal.jpg,289,403
1109409812088045568,_klimanotstand_,Sat Mar 23 11:01:25 +0000 2019,https://pbs.twimg.com/profile_images/1454345189800222722/pI02sy2z_normal.jpg,2300,73
1109761598720299008,AnaBlume2,Sun Mar 24 10:19:18 +0000 2019,https://pbs.twimg.com/profile_images/1248298580890116096/0gGdiQ5X_normal.jpg,14,6
1110593416088481793,SSchramschram,Tue Mar 26 17:24:39 +0000 2019,https://pbs.twimg.com/profile_images/1464637315704311808/LzwjTE_M_normal.jpg,16,84
1110886516061032448,AnthroBlogger,Wed Mar 27 12:49:19 +0000 2019,https://pbs.twimg.com/profile_images/1409434500631777285/pyEaU59D_normal.jpg,20074,1014
1116619771586338816,AndrePese,Fri Apr 12 08:31:14 +0000 2019,https://pbs.twimg.com/profile_images/1183386344992714753/xN_GDeBq_normal.jpg,60,1475
