ID,URL,Date,Valid Phish
7273646,https://fluidflowinfo.com/portal/, on Aug 25th 2021 7:16 PM,VALID PHISH
7273645,https://videosoundinc.com/videosoundinc/track-DE/..., on Aug 25th 2021 7:16 PM,VALID PHISH
7273628,https://one-visecanewcard.xyz/one/, on Aug 25th 2021 6:49 PM,Unknown
7273605,https://postfimcces.000webhostapp.com/login/, on Aug 25th 2021 6:02 PM,Unknown
7273525,http://ec2-18-135-28-169.eu-west-2.compute.amazonaws.com/..., on Aug 25th 2021 3:57 PM,Unknown
7273522,http://dpm.usbypkp.ac.id/images/data, on Aug 25th 2021 3:57 PM,Unknown
7273521,https://posstfinces.000webhostapp.com/login/, on Aug 25th 2021 3:57 PM,VALID PHISH
7273520,https://thebigtrove.com/wp-includes/rtr/fifi/f1/..., on Aug 25th 2021 3:57 PM,Unknown
7273519,https://cegefos.fr/oneservice/, on Aug 25th 2021 3:56 PM,Unknown
7273518,https://dentrepairchandleraz.com/w, on Aug 25th 2021 3:56 PM,Unknown
7273515,https://lepetittrainbleu.fr/dhh/DHLWEB/DHLWEB/..., on Aug 25th 2021 3:56 PM,Unknown
7273514,https://post-ch-de.easy-payment.icu/order/CH116876988..., on Aug 25th 2021 3:56 PM,Unknown
7273513,https://xn--mx-2na.email-ssl-sicherheit.de, on Aug 25th 2021 3:56 PM,VALID PHISH
7273177,https://deutsche-post.tincohermanos.com/Plugins/Redsys.html..., on Aug 25th 2021 9:16 AM,VALID PHISH
7273175,https://outlook2022.wixsite.com/outlook2022, on Aug 25th 2021 9:12 AM,Unknown
7273140,https://oauthbuk6057.s3.ams03.cloud-object-storage.appdomain.cloud/car..., on Aug 25th 2021 8:03 AM,Unknown
7273134,https://u1230426xb4.ha004.t.justns.ru/, on Aug 25th 2021 7:51 AM,Unknown
