,company,job,location,count
192,J. Windlin AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Kriens (LU),"
1 Lehrstelle(n)
"
193,Hans Näf AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Neukirch (Egnach) (TG),"
1 Lehrstelle(n)
"
194,Brunner Nutzfahrzeuge AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Stans (NW),"
1 Lehrstelle(n)
"
195,Mesrew AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Steg VS (VS),"
1 Lehrstelle(n)
"
196,J.-P. Martinet Mécanique SA,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Yverdon-les-Bains (VD),"
1 Lehrstelle(n)
"
197,Auto von Ah AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Alpnach Dorf (OW),"
1 Lehrstelle(n)
"
198,Auto-Center Durrer AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Alpnach Dorf (OW),"
1 Lehrstelle(n)
"
199,Garage Gebr. Wyden AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bellwald (VS),"
1 Lehrstelle(n)
"
200,Garage Frossard Daniel,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bossonnens (FR),"
1 Lehrstelle(n)
"
201,Garage im Steiger AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Brugg AG (AG),"
1 Lehrstelle(n)
"
202,Garage Sportec Sàrl,Automobil-Fachmann/-frau (Personenwagen) EFZ,Denges (VD),"
1 Lehrstelle(n)
"
203,Auto Portmann GmbH,Automobil-Fachmann/-frau (Personenwagen) EFZ,Engelberg (OW),"
1 Lehrstelle(n)
"
204,Garage de la Gare Chiaravalloti Teodore,Automobil-Fachmann/-frau (Personenwagen) EFZ,Etoy (VD),"
1 Lehrstelle(n)
"
205,Bütikofer Automobile AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Gachnang (TG),"
1 Lehrstelle(n)
"
206,Garage & Carrosserie Bienz AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Giswil (OW),"
1 Lehrstelle(n)
"
207,Garage Central Brigger + Co.,Automobil-Fachmann/-frau (Personenwagen) EFZ,Grächen (VS),"
1 Lehrstelle(n)
"
